MONTH,CURRENCY,avgValue
5,RUB,52.89759560439558
5,SEK,9.461996310679618
5,SGD,1.7395555339805833
5,SIT,224.05676300578034
5,SKK,39.788495370370406
5,THB,41.483010362694316
5,TRL,1129442.0930232557
5,TRY,4.3211170984455975
5,USD,1.190450097087379
5,ZAR,11.704172427184462
6,AUD,1.5635629126213602
6,BGN,1.9546420382165473
6,BRL,3.6912798136645946
6,CAD,1.4555939805825242
6,CHF,1.3335648543689327
6,CNY,8.50236485788114
6,CYP,0.5786953886010363
6,CZK,28.176009708737862
6,DKK,7.446537281553395
6,EEK,15.64660000000003
6,GBP,0.7720302330097082
6,HKD,9.27560077669902
6,HRK,7.420418346253232
6,HUF,288.7536116504855
6,IDR,14163.103049095607
6,ILS,4.29004708171206
6,INR,74.95676079734218
6,ISK,105.48009345794391
